dataset_id,paper_id
pwc:dataset/mnist,pwc:paper/modularity-matters-learning-invariant
pwc:dataset/mnist,pwc:paper/hitnet-a-neural-network-with-capsules
pwc:dataset/mnist,pwc:paper/fast-convex-pruning-of-deep-neural-networks
pwc:dataset/mnist,pwc:paper/compressed-sensing-with-deep-image-prior-and
pwc:dataset/mnist,pwc:paper/exact-information-propagation-through-fully
pwc:dataset/mnist,pwc:paper/laplacian-smoothing-gradient-descent
pwc:dataset/mnist,pwc:paper/dynmat-a-network-that-can-learn-after
pwc:dataset/mnist,pwc:paper/learning-factorized-multimodal
pwc:dataset/mnist,pwc:paper/bayesian-convolutional-neural-networks-with-1
pwc:dataset/mnist,pwc:paper/selfless-sequential-learning
pwc:dataset/mnist,pwc:paper/best-sources-forward-domain-generalization
pwc:dataset/mnist,pwc:paper/image-classification-and-retrieval-with
pwc:dataset/mnist,pwc:paper/to-understand-deep-learning-we-need-to
pwc:dataset/mnist,pwc:paper/multilevel-artificial-neural-network-training
pwc:dataset/mnist,pwc:paper/the-power-of-interpolation-understanding-the
pwc:dataset/mnist,pwc:paper/learning-deep-resnet-blocks-sequentially
pwc:dataset/mnist,pwc:paper/masked-autoregressive-flow-for-density
pwc:dataset/mnist,pwc:paper/dynamical-isometry-and-a-mean-field-theory-of
pwc:dataset/mnist,pwc:paper/adagrad-stepsizes-sharp-convergence-over
pwc:dataset/mnist,pwc:paper/scalable-neural-network-compression-and
pwc:dataset/mnist,pwc:paper/scsp-spectral-clustering-filter-pruning-with
pwc:dataset/mnist,pwc:paper/exploiting-inherent-error-resiliency-of
pwc:dataset/mnist,pwc:paper/group-equivariant-capsule-networks
pwc:dataset/mnist,pwc:paper/the-streaming-rollout-of-deep-networks
pwc:dataset/mnist,pwc:paper/reservoir-computing-hardware-with-cellular
pwc:dataset/mnist,pwc:paper/aspa-fast-adversarial-attack-example
pwc:dataset/mnist,pwc:paper/quantum-classification-of-the-mnist-dataset
pwc:dataset/mnist,pwc:paper/sparse-collaborative-or-nonnegative
pwc:dataset/mnist,pwc:paper/end-to-end-learning-of-energy-constrained
pwc:dataset/mnist,pwc:paper/deep-convolutional-neural-networks-for-brain
pwc:dataset/mnist,pwc:paper/adversarial-variational-bayes-unifying
pwc:dataset/mnist,pwc:paper/dual-pattern-learning-networks-by-empirical
pwc:dataset/mnist,pwc:paper/on-the-optimization-of-deep-networks-implicit
pwc:dataset/mnist,pwc:paper/the-effect-of-network-width-on-the
pwc:dataset/mnist,pwc:paper/smallify-learning-network-size-while-training
pwc:dataset/mnist,pwc:paper/attention-based-guided-structured-sparsity-of
pwc:dataset/mnist,pwc:paper/going-deeper-in-spiking-neural-networks-vgg
pwc:dataset/mnist,pwc:paper/asp-learning-to-forget-with-adaptive-synaptic
pwc:dataset/mnist,pwc:paper/generating-artificial-data-for-private-deep
pwc:dataset/mnist,pwc:paper/pros-and-cons-of-gan-evaluation-measures
pwc:dataset/mnist,pwc:paper/attention-based-deep-multiple-instance
pwc:dataset/mnist,pwc:paper/layer-wise-learning-of-stochastic-neural
pwc:dataset/mnist,pwc:paper/dimensionality-driven-learning-with-noisy
pwc:dataset/mnist,pwc:paper/deep-neural-networks-with-multi-branch
pwc:dataset/mnist,pwc:paper/som-vae-interpretable-discrete-representation
pwc:dataset/mnist,pwc:paper/online-variance-reduction-for-stochastic
pwc:dataset/mnist,pwc:paper/killing-four-birds-with-one-gaussian-process
pwc:dataset/mnist,pwc:paper/an-explainable-adversarial-robustness-metric
pwc:dataset/mnist,pwc:paper/towards-black-box-iterative-machine-teaching
pwc:dataset/mnist,pwc:paper/sufficient-conditions-for-idealised-models-to
pwc:dataset/mnist,pwc:paper/l4-practical-loss-based-stepsize-adaptation
pwc:dataset/mnist,pwc:paper/segen-sample-ensemble-genetic-evolutional
pwc:dataset/mnist,pwc:paper/factorized-adversarial-networks-for
pwc:dataset/mnist,pwc:paper/learning-a-code-machine-learning-for
pwc:dataset/mnist,pwc:paper/holographic-neural-architectures
pwc:dataset/mnist,pwc:paper/adversarial-confidence-and-smoothness
pwc:dataset/mnist,pwc:paper/an-aggressive-genetic-programming-approach
pwc:dataset/mnist,pwc:paper/minnorm-training-an-algorithm-for-training
pwc:dataset/mnist,pwc:paper/daqn-deep-auto-encoder-and-q-network
pwc:dataset/mnist,pwc:paper/accounting-for-the-neglected-dimensions-of-ai
pwc:dataset/mnist,pwc:paper/maximum-principle-based-algorithms-for-deep
pwc:dataset/mnist,pwc:paper/federated-learning-with-non-iid-data
pwc:dataset/mnist,pwc:paper/targeted-kernel-networks-faster-convolutions
pwc:dataset/mnist,pwc:paper/oversegmenting-graphs
pwc:dataset/mnist,pwc:paper/inverting-supervised-representations-with
pwc:dataset/mnist,pwc:paper/denser-deep-evolutionary-network-structured
pwc:dataset/mnist,pwc:paper/nest-a-neural-network-synthesis-tool-based-on
pwc:dataset/mnist,pwc:paper/training-lstm-networks-with-resistive-cross
pwc:dataset/mnist,pwc:paper/peernets-exploiting-peer-wisdom-against
pwc:dataset/mnist,pwc:paper/resisting-adversarial-attacks-using-gaussian
pwc:dataset/mnist,pwc:paper/defending-against-machine-learning-model
pwc:dataset/mnist,pwc:paper/verifying-properties-of-binarized-deep-neural
pwc:dataset/mnist,pwc:paper/assessing-generative-models-via-precision-and
pwc:dataset/mnist,pwc:paper/rmdl-random-multimodel-deep-learning-for
pwc:dataset/mnist,pwc:paper/scaling-provable-adversarial-defenses
pwc:dataset/mnist,pwc:paper/on-gans-and-gmms
pwc:dataset/mnist,pwc:paper/sample-efficient-deep-reinforcement-learning-2
pwc:dataset/mnist,pwc:paper/reinforced-continual-learning
pwc:dataset/mnist,pwc:paper/generalizing-to-unseen-domains-via
pwc:dataset/mnist,pwc:paper/counterstrike-defending-deep-learning
pwc:dataset/mnist,pwc:paper/multi-function-convolutional-neural-networks
pwc:dataset/mnist,pwc:paper/autozoom-autoencoder-based-zeroth-order
pwc:dataset/mnist,pwc:paper/a-statistical-recurrent-model-on-the-manifold
pwc:dataset/mnist,pwc:paper/capsnet-comparative-performance-evaluation
pwc:dataset/mnist,pwc:paper/lifelong-learning-of-spatiotemporal
pwc:dataset/mnist,pwc:paper/deepproblog-neural-probabilistic-logic
pwc:dataset/mnist,pwc:paper/fast-dynamic-routing-based-on-weighted-kernel
pwc:dataset/mnist,pwc:paper/dnn-or-k-nn-that-is-the-generalize-vs
pwc:dataset/mnist,pwc:paper/genattack-practical-black-box-attacks-with
pwc:dataset/mnist,pwc:paper/accelerating-cnn-inference-on-fpgas-a-survey
pwc:dataset/mnist,pwc:paper/dvae-discrete-variational-autoencoders-with-1
pwc:dataset/mnist,pwc:paper/large-scale-distance-metric-learning-with
pwc:dataset/mnist,pwc:paper/self-net-lifelong-learning-via-continual-self
pwc:dataset/mnist,pwc:paper/tensorial-neural-networks-generalization-of
pwc:dataset/mnist,pwc:paper/multiview-learning-of-weighted-majority-vote
pwc:dataset/mnist,pwc:paper/overcoming-the-vanishing-gradient-problem-in
pwc:dataset/mnist,pwc:paper/performing-co-membership-attacks-against-deep
pwc:dataset/mnist,pwc:paper/gradient-regularization-improves-accuracy-of
pwc:dataset/mnist,pwc:paper/multi-task-zipping-via-layer-wise-neuron
