dataset_id,task_id
pwc:dataset/mnist,pwc:task/speech-recognition
pwc:dataset/mnist,pwc:task/image-classification
pwc:dataset/mnist,pwc:task/token-classification
pwc:dataset/mnist,pwc:task/text-classification
pwc:dataset/mnist,pwc:task/image-generation
pwc:dataset/mnist,pwc:task/automatic-speech-recognition
pwc:dataset/mnist,pwc:task/domain-adaptation
pwc:dataset/mnist,pwc:task/anomaly-detection
pwc:dataset/mnist,pwc:task/graph-classification
pwc:dataset/mnist,pwc:task/sequence-to-sequence-language-modeling
pwc:dataset/mnist,pwc:task/fine-grained-image-classification
pwc:dataset/mnist,pwc:task/image-clustering
pwc:dataset/mnist,pwc:task/summarization
pwc:dataset/mnist,pwc:task/continual-learning
pwc:dataset/mnist,pwc:task/architecture-search
pwc:dataset/mnist,pwc:task/video-prediction
pwc:dataset/mnist,pwc:task/density-estimation
pwc:dataset/mnist,pwc:task/core-set-discovery
pwc:dataset/mnist,pwc:task/clustering-algorithms-evaluation
pwc:dataset/mnist,pwc:task/stochastic-optimization
pwc:dataset/mnist,pwc:task/classification
pwc:dataset/mnist,pwc:task/unsupervised-anomaly-detection
pwc:dataset/mnist,pwc:task/adversarial-defense
pwc:dataset/mnist,pwc:task/unsupervised-image-classification
pwc:dataset/mnist,pwc:task/network-pruning
pwc:dataset/mnist,pwc:task/deep-clustering
pwc:dataset/mnist,pwc:task/intent-classification
pwc:dataset/mnist,pwc:task/classification-with-binary-weight-network
pwc:dataset/mnist,pwc:task/sequential-image-classification
pwc:dataset/mnist,pwc:task/continuously-indexed-domain-adaptation
pwc:dataset/mnist,pwc:task/model-poisoning
pwc:dataset/mnist,pwc:task/sparse-learning-and-binarization
pwc:dataset/mnist,pwc:task/unsupervised-image-to-image-translation
pwc:dataset/mnist,pwc:task/hard-label-attack
pwc:dataset/mnist,pwc:task/cg
pwc:dataset/mnist,pwc:task/fill-mask
pwc:dataset/mnist,pwc:task/abbreviationdetection
pwc:dataset/mnist,pwc:task/nature-inspired-optimization-algorithm
pwc:dataset/mnist,pwc:task/structured-prediction
pwc:dataset/mnist,pwc:task/one-shot-learning
pwc:dataset/mnist,pwc:task/handwritten-digit-recognition
pwc:dataset/mnist,pwc:task/unsupervised-mnist
pwc:dataset/mnist,pwc:task/rotated-mnist
pwc:dataset/mnist,pwc:task/superpixel-image-classification
pwc:dataset/mnist,pwc:task/pos
pwc:dataset/mnist,pwc:task/multi-label-text-classification-1
pwc:dataset/mnist,pwc:task/text2text-generation
pwc:dataset/mnist,pwc:task/malicious-detection
pwc:dataset/mnist,pwc:task/iloko-speech-recognition
pwc:dataset/mnist,pwc:task/tag
pwc:dataset/mnist,pwc:task/spaceinvadersnoframeskip
pwc:dataset/mnist,pwc:task/cefr-proficiency-prediction
pwc:dataset/mnist,pwc:task/optical-charater-recogntion
pwc:dataset/mnist,pwc:task/analogical-questions
pwc:dataset/mnist,pwc:task/sents
pwc:dataset/mnist,pwc:task/sts
pwc:dataset/mnist,pwc:task/question-generation-1
pwc:dataset/mnist,pwc:task/nmt
pwc:dataset/mnist,pwc:task/animal-10-classification
pwc:dataset/celeba,pwc:task/image-classification
pwc:dataset/celeba,pwc:task/image-generation
pwc:dataset/celeba,pwc:task/image-super-resolution
pwc:dataset/celeba,pwc:task/face-alignment
pwc:dataset/celeba,pwc:task/image-inpainting
pwc:dataset/celeba,pwc:task/multi-task-learning
pwc:dataset/celeba,pwc:task/unsupervised-facial-landmark-detection
pwc:dataset/celeba,pwc:task/image-deblurring
pwc:dataset/celeba,pwc:task/image-compressed-sensing
pwc:dataset/celeba,pwc:task/facial-expression-translation
pwc:dataset/celeba,pwc:task/image-colorization
pwc:dataset/celeba,pwc:task/single-image-super-resolution
pwc:dataset/celeba,pwc:task/haircolor-unbiased
pwc:dataset/celeba,pwc:task/haircolor-bias-conflicting
pwc:dataset/celeba,pwc:task/heavymakeup-unbiased
pwc:dataset/celeba,pwc:task/heavymakeup-bias-conflicting
pwc:dataset/celeba,pwc:task/physical-attribute-prediction
pwc:dataset/jft-300m,pwc:task/image-classification
pwc:dataset/glue,pwc:task/text-generation
pwc:dataset/glue,pwc:task/text-classification
pwc:dataset/glue,pwc:task/question-answering
pwc:dataset/glue,pwc:task/few-shot-learning
pwc:dataset/glue,pwc:task/sentiment-analysis
pwc:dataset/glue,pwc:task/natural-language-inference
pwc:dataset/glue,pwc:task/semantic-textual-similarity
pwc:dataset/glue,pwc:task/stochastic-optimization
pwc:dataset/glue,pwc:task/natural-language-understanding
pwc:dataset/glue,pwc:task/paraphrase-identification
pwc:dataset/glue,pwc:task/paraphrase-generation
pwc:dataset/glue,pwc:task/community-question-answering
pwc:dataset/glue,pwc:task/linguistic-acceptability
pwc:dataset/glue,pwc:task/paraphrase-identification-within-bi-encoder
pwc:dataset/glue,pwc:task/semantic-textual-similarity-within-bi-encoder
pwc:dataset/glue,pwc:task/headline-style-transfer-il-giornale-to
pwc:dataset/glue,pwc:task/headline-style-transfer-repubblica-to-il
pwc:dataset/glue,pwc:task/cola
pwc:dataset/glue,pwc:task/sst-2
pwc:dataset/glue,pwc:task/mrpc
pwc:dataset/glue,pwc:task/sts-b
pwc:dataset/glue,pwc:task/qqp
