task_id,paper_id
pwc:task/machine-learning,pwc:paper/automated-bridge-component-recognition-using
pwc:task/self-supervised-learning,pwc:paper/temporal-coherence-based-self-supervised
pwc:task/machine-translation,pwc:paper/scaling-neural-machine-translation
pwc:task/question-answering,pwc:paper/scaling-neural-machine-translation
pwc:task/translation,pwc:paper/scaling-neural-machine-translation
pwc:task/causal-inference,pwc:paper/almost-exact-matching-with-replacement-for
pwc:task/regression,pwc:paper/flexible-collaborative-estimation-of-the
pwc:task/machine-learning,pwc:paper/consistent-individualized-feature-attribution
pwc:task/dimensionality-reduction,pwc:paper/bingan-learning-compact-binary-descriptors
pwc:task/retrieval,pwc:paper/bingan-learning-compact-binary-descriptors
pwc:task/outlier-detection,pwc:paper/kernel-based-outlier-detection-using-the
pwc:task/anatomy,pwc:paper/kid-net-convolution-networks-for-kidney
pwc:task/image-segmentation,pwc:paper/kid-net-convolution-networks-for-kidney
pwc:task/semantic-segmentation,pwc:paper/kid-net-convolution-networks-for-kidney
pwc:task/relational-reasoning,pwc:paper/modularity-matters-learning-invariant
pwc:task/visual-reasoning,pwc:paper/modularity-matters-learning-invariant
pwc:task/video-summarization,pwc:paper/a-memory-network-approach-for-story-based
pwc:task/decision-making,pwc:paper/pots-protective-optimization-technologies
pwc:task/fairness,pwc:paper/pots-protective-optimization-technologies
pwc:task/acoustic-unit-discovery,pwc:paper/unsupervised-word-segmentation-from-speech
pwc:task/machine-translation,pwc:paper/unsupervised-word-segmentation-from-speech
pwc:task/translation,pwc:paper/unsupervised-word-segmentation-from-speech
pwc:task/data-augmentation,pwc:paper/semantically-selective-augmentation-for-deep
pwc:task/person-re-identification,pwc:paper/semantically-selective-augmentation-for-deep
pwc:task/specificity,pwc:paper/semantically-selective-augmentation-for-deep
pwc:task/translation,pwc:paper/assessing-robustness-of-radiomic-features-by
pwc:task/semantic-segmentation,pwc:paper/reconvnet-video-object-segmentation-with
pwc:task/semi-supervised-video-object-segmentation,pwc:paper/reconvnet-video-object-segmentation-with
pwc:task/video-object-segmentation,pwc:paper/reconvnet-video-object-segmentation-with
pwc:task/video-semantic-segmentation,pwc:paper/reconvnet-video-object-segmentation-with
pwc:task/metric-learning,pwc:paper/tree-edit-distance-learning-via-adaptive-1
pwc:task/drum-transcription,pwc:paper/towards-multi-instrument-drum-transcription
pwc:task/music-transcription,pwc:paper/towards-multi-instrument-drum-transcription
pwc:task/language-modelling,pwc:paper/subword-and-crossword-units-for-ctc-acoustic
pwc:task/speech-recognition-1,pwc:paper/subword-and-crossword-units-for-ctc-acoustic
pwc:task/speech-recognition,pwc:paper/subword-and-crossword-units-for-ctc-acoustic
pwc:task/bayesian-inference,pwc:paper/warp-wavelets-with-adaptive-recursive
pwc:task/image-reconstruction,pwc:paper/warp-wavelets-with-adaptive-recursive
pwc:task/cross-corpus,pwc:paper/on-enhancing-speech-emotion-recognition-using
pwc:task/emotion-recognition,pwc:paper/on-enhancing-speech-emotion-recognition-using
pwc:task/speech-emotion-recognition,pwc:paper/on-enhancing-speech-emotion-recognition-using
pwc:task/classification,pwc:paper/comparison-based-random-forests
pwc:task/regression,pwc:paper/comparison-based-random-forests
pwc:task/activity-recognition,pwc:paper/on-multi-resident-activity-recognition-in
pwc:task/incremental-learning,pwc:paper/evaluating-and-characterizing-incremental
pwc:task/quantization,pwc:paper/quantized-compressive-k-means
pwc:task/machine-learning,pwc:paper/snap-ml-a-hierarchical-framework-for-machine
pwc:task/speech-recognition-1,pwc:paper/multilingual-bottleneck-features-for-subword
pwc:task/speech-recognition,pwc:paper/multilingual-bottleneck-features-for-subword
pwc:task/6d-pose-estimation-1,pwc:paper/ipose-instance-aware-6d-pose-estimation-of
pwc:task/6d-pose-estimation,pwc:paper/ipose-instance-aware-6d-pose-estimation-of
pwc:task/instance-segmentation,pwc:paper/ipose-instance-aware-6d-pose-estimation-of
pwc:task/pose-estimation,pwc:paper/ipose-instance-aware-6d-pose-estimation-of
pwc:task/semantic-segmentation,pwc:paper/ipose-instance-aware-6d-pose-estimation-of
pwc:task/bayesian-inference,pwc:paper/uncertainty-in-multitask-learning-joint
pwc:task/association,pwc:paper/deep-recurrent-neural-network-for-multi
pwc:task/machine-translation,pwc:paper/low-resource-speech-to-text-translation
pwc:task/speech-recognition-1,pwc:paper/low-resource-speech-to-text-translation
pwc:task/speech-recognition,pwc:paper/low-resource-speech-to-text-translation
pwc:task/speech-to-text-translation,pwc:paper/low-resource-speech-to-text-translation
pwc:task/translation,pwc:paper/low-resource-speech-to-text-translation
pwc:task/machine-learning,pwc:paper/computational-theories-of-curiosity-driven
pwc:task/topic-models,pwc:paper/nonparametric-topic-modeling-with-neural
pwc:task/word-sense-disambiguation,pwc:paper/wsd-algorithm-based-on-a-new-method-of-vector
pwc:task/machine-learning,pwc:paper/distributed-learning-with-compressed
pwc:task/distributed-optimization,pwc:paper/distributed-learning-with-compressed
pwc:task/reinforcement-learning,pwc:paper/learning-from-outside-the-viability-kernel
pwc:task/reinforcement-learning-1,pwc:paper/learning-from-outside-the-viability-kernel
pwc:task/compressive-sensing,pwc:paper/ista-net-interpretable-optimization-inspired
pwc:task/multi-label-learning,pwc:paper/incremental-sparse-bayesian-ordinal
pwc:task/regression,pwc:paper/incremental-sparse-bayesian-ordinal
pwc:task/object-detection-1,pwc:paper/sniper-efficient-multi-scale-training
pwc:task/object-detection,pwc:paper/sniper-efficient-multi-scale-training
pwc:task/region-proposal,pwc:paper/sniper-efficient-multi-scale-training
pwc:task/variational-inference,pwc:paper/constraining-the-dynamics-of-deep
pwc:task/solar-cell-segmentation,pwc:paper/segmentation-of-photovoltaic-module-cells-in
pwc:task/image-super-resolution,pwc:paper/dual-recovery-network-with-online
pwc:task/super-resolution,pwc:paper/dual-recovery-network-with-online
pwc:task/data-augmentation,pwc:paper/hitnet-a-neural-network-with-capsules
pwc:task/speech-recognition-1,pwc:paper/semi-tied-units-for-efficient-gating-in-lstm
pwc:task/speech-recognition,pwc:paper/semi-tied-units-for-efficient-gating-in-lstm
pwc:task/classification,pwc:paper/an-ensemble-of-transfer-semi-supervised-and
pwc:task/representation-learning,pwc:paper/an-ensemble-of-transfer-semi-supervised-and
pwc:task/reinforcement-learning,pwc:paper/a-unified-strategy-for-implementing-curiosity
pwc:task/reinforcement-learning-1,pwc:paper/a-unified-strategy-for-implementing-curiosity
pwc:task/automatic-speech-recognition,pwc:paper/multi-modal-data-augmentation-for-end-to-end
pwc:task/data-augmentation,pwc:paper/multi-modal-data-augmentation-for-end-to-end
pwc:task/language-modelling,pwc:paper/multi-modal-data-augmentation-for-end-to-end
pwc:task/speech-recognition-1,pwc:paper/multi-modal-data-augmentation-for-end-to-end
pwc:task/speech-recognition,pwc:paper/multi-modal-data-augmentation-for-end-to-end
pwc:task/unsupervised-facial-landmark-detection,pwc:paper/deforming-autoencoders-unsupervised
pwc:task/autonomous-driving,pwc:paper/conditional-affordance-learning-for-driving
pwc:task/autonomous-navigation,pwc:paper/conditional-affordance-learning-for-driving
pwc:task/imitation-learning,pwc:paper/conditional-affordance-learning-for-driving
pwc:task/navigate,pwc:paper/conditional-affordance-learning-for-driving
pwc:task/anomaly-detection,pwc:paper/detecting-zero-day-controller-hijacking
pwc:task/image-captioning,pwc:paper/women-also-snowboard-overcoming-bias-in-1
pwc:task/density-estimation,pwc:paper/boosted-density-estimation-remastered
pwc:task/language-modelling,pwc:paper/entity-aware-language-model-as-an
